audeur,chfgbp,cadjpy,,,audeur,Date,Time,Close,,chfgbp,Date,Time,Close,,cadjpy,Date,Time,Close
0.64322,0.70523,83.4612,,,,2016-02-18,04:30:00,0.64322,,,2016-02-18,04:30:00,0.70523,,,2016-02-18,04:30:00,83.4612
0.64331,0.70524,83.4847,,,,2016-02-18,04:35:00,0.64331,,,2016-02-18,04:35:00,0.70524,,,2016-02-18,04:35:00,83.4847
0.64337,0.70491,83.5166,,,,2016-02-18,04:40:00,0.64337,,,2016-02-18,04:40:00,0.70491,,,2016-02-18,04:40:00,83.5166
0.6434,0.7049,83.4965,,,,2016-02-18,04:45:00,0.6434,,,2016-02-18,04:45:00,0.7049,,,2016-02-18,04:45:00,83.4965
0.64313,0.70506,83.4086,,,,2016-02-18,04:50:00,0.64313,,,2016-02-18,04:50:00,0.70506,,,2016-02-18,04:50:00,83.4086
0.643,0.70491,83.4101,,,,2016-02-18,04:55:00,0.643,,,2016-02-18,04:55:00,0.70491,,,2016-02-18,04:55:00,83.4101
0.64331,0.70495,83.4125,,,,2016-02-18,05:00:00,0.64331,,,2016-02-18,05:00:00,0.70495,,,2016-02-18,05:00:00,83.4125
0.64352,0.70488,83.42,,,,2016-02-18,05:05:00,0.64352,,,2016-02-18,05:05:00,0.70488,,,2016-02-18,05:05:00,83.42
0.64352,0.70473,83.4523,,,,2016-02-18,05:10:00,0.64352,,,2016-02-18,05:10:00,0.70473,,,2016-02-18,05:10:00,83.4523
0.64329,0.70468,83.4441,,,,2016-02-18,05:15:00,0.64329,,,2016-02-18,05:15:00,0.70468,,,2016-02-18,05:15:00,83.4441
0.64347,0.70484,83.4892,,,,2016-02-18,05:20:00,0.64347,,,2016-02-18,05:20:00,0.70484,,,2016-02-18,05:20:00,83.4892
0.64329,0.70476,83.4338,,,,2016-02-18,05:25:00,0.64329,,,2016-02-18,05:25:00,0.70476,,,2016-02-18,05:25:00,83.4338
0.64306,0.70501,83.4539,,,,2016-02-18,05:30:00,0.64306,,,2016-02-18,05:30:00,0.70501,,,2016-02-18,05:30:00,83.4539
0.64286,0.70514,83.4771,,,,2016-02-18,05:35:00,0.64286,,,2016-02-18,05:35:00,0.70514,,,2016-02-18,05:35:00,83.4771
0.64289,0.70524,83.4556,,,,2016-02-18,05:40:00,0.64289,,,2016-02-18,05:40:00,0.70524,,,2016-02-18,05:40:00,83.4556
0.64249,0.70512,83.41,,,,2016-02-18,05:45:00,0.64249,,,2016-02-18,05:45:00,0.70512,,,2016-02-18,05:45:00,83.41
0.64258,0.70492,83.4406,,,,2016-02-18,05:50:00,0.64258,,,2016-02-18,05:50:00,0.70492,,,2016-02-18,05:50:00,83.4406
0.64265,0.70495,83.4589,,,,2016-02-18,05:55:00,0.64265,,,2016-02-18,05:55:00,0.70495,,,2016-02-18,05:55:00,83.4589
0.64239,0.70491,83.4562,,,,2016-02-18,06:00:00,0.64239,,,2016-02-18,06:00:00,0.70491,,,2016-02-18,06:00:00,83.4562
0.64229,0.70506,83.433,,,,2016-02-18,06:05:00,0.64229,,,2016-02-18,06:05:00,0.70506,,,2016-02-18,06:05:00,83.433
0.64239,0.7052,83.4494,,,,2016-02-18,06:10:00,0.64239,,,2016-02-18,06:10:00,0.7052,,,2016-02-18,06:10:00,83.4494
0.64234,0.70506,83.4517,,,,2016-02-18,06:15:00,0.64234,,,2016-02-18,06:15:00,0.70506,,,2016-02-18,06:15:00,83.4517
0.64245,0.70515,83.4562,,,,2016-02-18,06:20:00,0.64245,,,2016-02-18,06:20:00,0.70515,,,2016-02-18,06:20:00,83.4562
0.64312,0.70466,83.5437,,,,2016-02-18,06:25:00,0.64312,,,2016-02-18,06:25:00,0.70466,,,2016-02-18,06:25:00,83.5437
0.64287,0.70495,83.5249,,,,2016-02-18,06:30:00,0.64287,,,2016-02-18,06:30:00,0.70495,,,2016-02-18,06:30:00,83.5249
0.64307,0.70496,83.5176,,,,2016-02-18,06:35:00,0.64307,,,2016-02-18,06:35:00,0.70496,,,2016-02-18,06:35:00,83.5176
0.64303,0.70508,83.4877,,,,2016-02-18,06:40:00,0.64303,,,2016-02-18,06:40:00,0.70508,,,2016-02-18,06:40:00,83.4877
0.64284,0.70517,83.4631,,,,2016-02-18,06:45:00,0.64284,,,2016-02-18,06:45:00,0.70517,,,2016-02-18,06:45:00,83.4631
0.64255,0.70541,83.3935,,,,2016-02-18,06:50:00,0.64255,,,2016-02-18,06:50:00,0.70541,,,2016-02-18,06:50:00,83.3935
0.64254,0.70537,83.4239,,,,2016-02-18,06:55:00,0.64254,,,2016-02-18,06:55:00,0.70537,,,2016-02-18,06:55:00,83.4239
0.64268,0.70525,83.3874,,,,2016-02-18,07:00:00,0.64268,,,2016-02-18,07:00:00,0.70525,,,2016-02-18,07:00:00,83.3874
0.6423,0.70557,83.3867,,,,2016-02-18,07:05:00,0.6423,,,2016-02-18,07:05:00,0.70557,,,2016-02-18,07:05:00,83.3867
0.64256,0.70557,83.417,,,,2016-02-18,07:10:00,0.64256,,,2016-02-18,07:10:00,0.70557,,,2016-02-18,07:10:00,83.417
0.64254,0.70598,83.4006,,,,2016-02-18,07:15:00,0.64254,,,2016-02-18,07:15:00,0.70598,,,2016-02-18,07:15:00,83.4006
0.64224,0.70635,83.33,,,,2016-02-18,07:20:00,0.64224,,,2016-02-18,07:20:00,0.70635,,,2016-02-18,07:20:00,83.33
0.64186,0.70636,83.352,,,,2016-02-18,07:25:00,0.64186,,,2016-02-18,07:25:00,0.70636,,,2016-02-18,07:25:00,83.352
0.64168,0.70671,83.2788,,,,2016-02-18,07:30:00,0.64168,,,2016-02-18,07:30:00,0.70671,,,2016-02-18,07:30:00,83.2788
0.64135,0.70679,83.2614,,,,2016-02-18,07:35:00,0.64135,,,2016-02-18,07:35:00,0.70679,,,2016-02-18,07:35:00,83.2614
0.64133,0.70666,83.2905,,,,2016-02-18,07:40:00,0.64133,,,2016-02-18,07:40:00,0.70666,,,2016-02-18,07:40:00,83.2905
0.64125,0.70671,83.2805,,,,2016-02-18,07:45:00,0.64125,,,2016-02-18,07:45:00,0.70671,,,2016-02-18,07:45:00,83.2805
0.64145,0.70682,83.2763,,,,2016-02-18,07:50:00,0.64145,,,2016-02-18,07:50:00,0.70682,,,2016-02-18,07:50:00,83.2763
0.64128,0.70685,83.2615,,,,2016-02-18,07:55:00,0.64128,,,2016-02-18,07:55:00,0.70685,,,2016-02-18,07:55:00,83.2615
